OTU,taxonomy,,,,,,,,,,,,,,,
OTU23,d__Bacteria;_k__norank;_p__Deinococcus-Thermus;_c__Deinococci;_o__Deinococcales;_f__Deinococcaceae;_g__Deinococcus;_s__Deinococcus_geothermalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU24,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__Lachnospiraceae_UCG-004;_s__uncultured_organism_g__Lachnospiraceae_UCG-004,2,12,3,6,3,4,11,8,3,1,2,1,3,6,4
OTU25,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Family_XIII;_g__[Eubacterium]_nodatum_group;_s__unclassified_g__[Eubacterium]_nodatum_group,0,7,1,2,0,0,2,0,0,0,3,0,1,1,0
OTU26,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Alloprevotella;_s__unclassified_g__Alloprevotella,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0
OTU27,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__unclassified_f__Ruminococcaceae;_s__unclassified_f__Ruminococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU28,d__Bacteria;_k__norank;_p__Tenericutes;_c__Mollicutes;_o__Mollicutes_RF9;_f__norank_o__Mollicutes_RF9;_g__norank_o__Mollicutes_RF9;_s__unclassified_g__norank_o__Mollicutes_RF9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU29,d__Bacteria;_k__norank;_p__Tenericutes;_c__Mollicutes;_o__Mollicutes_RF9;_f__norank_o__Mollicutes_RF9;_g__norank_o__Mollicutes_RF9;_s__uncultured_bacterium_g__norank_o__Mollicutes_RF9,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
OTU30,d__Bacteria;_k__norank;_p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__Dialister;_s__unclassified_g__Dialister,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
OTU31,d__Bacteria;_k__norank;_p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__Veillonella;_s__uncultured_methanogenic_archaeon_g__Veillonella,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
OTU32,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Bacteroidales_S24-7_group;_g__norank_f__Bacteroidales_S24-7_group;_s__gut_metagenome_g__norank_f__Bacteroidales_S24-7_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU33,d__Bacteria;_k__norank;_p__Actinobacteria;_c__Actinobacteria;_o__Coriobacteriales;_f__Coriobacteriaceae;_g__Atopobium;_s__unclassified_g__Atopobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU34,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Prevotellaceae_UCG-001;_s__uncultured_bacterium_g__Prevotellaceae_UCG-001,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU35,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Rikenellaceae;_g__Alistipes;_s__unclassified_g__Alistipes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
OTU36,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Porphyromonas;_s__Porphyromonas_gingivalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU37,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__norank_f__Ruminococcaceae;_s__Ruminococcaceae_bacterium_AM2,0,0,1,1,0,1,1,1,0,1,3,0,1,0,0
OTU38,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__norank_f__Ruminococcaceae;_s__unclassified_g__norank_f__Ruminococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU39,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__Ruminococcaceae_UCG-010;_s__gut_metagenome_g__Ruminococcaceae_UCG-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU40,d__Bacteria;_k__norank;_p__Verrucomicrobia;_c__Opitutae;_o__Opitutae_vadinHA64;_f__norank_o__Opitutae_vadinHA64;_g__norank_o__Opitutae_vadinHA64;_s__uncultured_bacterium_g__norank_o__Opitutae_vadinHA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU41,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__Ruminococcus_2;_s__uncultured_bacterium_g__Ruminococcus_2,7,5,38,91,26,23,124,219,71,6,3,4,7,4,54
OTU42,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__Ruminiclostridium_5;_s__uncultured_bacterium_g__Ruminiclostridium_5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU43,d__Bacteria;_k__norank;_p__Lentisphaerae;_c__Lentisphaeria;_o__Victivallales;_f__vadinBE97;_g__norank_f__vadinBE97;_s__uncultured_rumen_bacterium_g__norank_f__vadinBE97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU44,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__Coprococcus_1;_s__intestinal_bacterium_CG19-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
OTU45,d__Bacteria;_k__norank;_p__Proteobacteria;_c__Gammaproteobacteria;_o__Enterobacteriales;_f__Enterobacteriaceae;_g__Proteus;_s__Proteus_mirabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU46,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Peptostreptococcaceae;_g__Peptostreptococcus;_s__uncultured_organism_g__Peptostreptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU47,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Butyricimonas;_s__Sanguibacteroides_justesenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU48,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__Anaerotruncus;_s__uncultured_bacterium_g__Anaerotruncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU49,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Alloprevotella;_s__uncultured_organism_g__Alloprevotella,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU50,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Lachnospiraceae;_g__Lachnospira;_s__uncultured_organism_g__Lachnospira,65,282,113,142,31,282,41,60,39,64,68,27,74,55,62
OTU51,d__Bacteria;_k__norank;_p__Firmicutes;_c__Negativicutes;_o__Selenomonadales;_f__Veillonellaceae;_g__Dialister;_s__unclassified_g__Dialister,127,2936,228,240,36,224,290,179,85,4898,309,83,137,1766,652
OTU52,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Prevotellaceae;_g__Prevotella_9;_s__unclassified_g__Prevotella_9,20,32,81,84,6,1,91,40,1,0,0,1,2,3,29
OTU53,d__Bacteria;_k__norank;_p__Bacteroidetes;_c__Bacteroidia;_o__Bacteroidales;_f__Porphyromonadaceae;_g__Parabacteroides;_s__Parabacteroides_goldsteinii,5,2,2,5,48,5,30,0,1,0,2,0,2,2,0
OTU54,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Clostridiales_vadinBB60_group;_g__norank_f__Clostridiales_vadinBB60_group;_s__uncultured_bacterium_g__norank_f__Clostridiales_vadinBB60_group,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU55,d__Bacteria;_k__norank;_p__Firmicutes;_c__Clostridia;_o__Clostridiales;_f__Ruminococcaceae;_g__Anaerotruncus;_s__unclassified_g__Anaerotruncus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
